ID,Area,Evidence path/route,Current state,Standard coverage,Gap type,Classification,Recommended next step,Dependency,Risk,Acceptance criterion,Rollback boundary
GAP-13,Row state presentation,pages/Orders.tsx L128-148; pages/FinanceActivity.tsx L106-118; stripe grep = 0,Row status = plain small text; no marker icon or edge stripe anywhere,Row slots + <=3px edge stripe + word+marker,shared UI primitive,needs owner decision,D-05: approve marker/edge-stripe adoption; then Row primitive implements slots,Wave 2/3,Visual identity change,Rows render marker+word; stripe <=3px,Revert component
GAP-14,Skeleton loading,"grep skeleton = 0; index.css L354,L761",Loading = text + spinner only,"Skeleton promising real layout, aria-busy",shared UI primitive,defer,ScreenState primitive gains a skeleton tier later,Wave 3,Low (additive),aria-busy; layout-promising skeleton,Revert
GAP-15,Sheet systems,"index.css L711-751,L857,L872-1000; components/ui/drawer.tsx; components/layout/QuickActionSheet.tsx L393-421",3 coexisting systems (vaul bridge / .micro-sheet-* / .micro-dialog),One sheet contract,shared UI primitive,defer,Consolidate on vaul when the overlay contract lands,Wave 3,Refactor risk,One sheet implementation owning scrim/focus/z,Revert
GAP-16,Feedback regime,App.tsx L2 (Q-003 removed Toaster); 110 role=status; 53 role=alert; app/resultFeedback.ts; 34 pages with local setMessage/setNotice,Deliberate inline regime; no snackbar; per-page notice markup,Snackbar contract exists,product/owner decision,needs owner decision,D-06: ratify inline no-toast regime (Standard gains a note) or adopt snackbar; then one Notice primitive,Wave 3,Regime fork persists,Recorded decision; single feedback contract,Revert
GAP-17,Surface primitive,index.css: 18 micro-*card* variants; InfoCard tone slots used by 2 files,Card variant zoo; no Surface with slots,Surface ladder + card contract,shared UI primitive,defer,Surface primitive with tone/elevation slots,Wave 3,Zoo persists,One surface family,Revert
GAP-18,Row primitive,"index.css: 13 row families, 2 anatomies (divider-row vs bordered-card-row)",Anatomies fork,One row grid (R-10),shared UI primitive,defer,Row primitive normalizes families,Wave 3,Wide touch points,Single anatomy; inset dividers,Revert
GAP-19,Empty-state variants,index.css L590; pages/Parties.tsx L138-147; pages/Home.tsx L331-334; pages/FinanceActivity.tsx L270,4 competing implementations,Empty contract (tile+copy+one action),shared UI primitive,defer,EmptyState primitive with compact/inline variants,Wave 3,Inconsistent empties,One primitive,Revert
GAP-20,ScreenState duplication,~30 page-local loading/error blocks (pages/Home.tsx L154-173; pages/Finance.tsx L250-265; pages/Orders.tsx L67-86),Loading/error/retry re-implemented per page; unknown state unowned,6 screen states incl. unknown,shared UI primitive,defer,ScreenState primitive wired to the taxonomy,Wave 3,Unknown-state gaps,One component; taxonomy covered,Revert
GAP-21,Dead tooltip,components/ui/tooltip.tsx; App.tsx L15; vite.config.ts L334-335,"TooltipProvider mounted, never rendered; radix chunk shipped",Component economy,shared UI primitive,fix now in planning,Delete tooltip + provider + dependency; re-run bundle budget,None,Dead surface + bundle cost,No tooltip references; budget green; tests green,Revert
GAP-22,Amount unit composition,275 exact d.a. literals across 53 files; formatMoneyWithUnit in 6 files; 30 files hand-roll dir=ltr isolation,Unit composition inline everywhere,Unit beside value; amount slot,shared UI primitive,defer,Centralize via MoneyValue/formatters after value-zone lands,Wave 3/4,Mechanical but wide,Single formatter path; literals reduced,Revert
GAP-23,Value-zone slots,pages/Finance.tsx L757-834; value sizes 20/24/26/28/31px,Label/value/unit realized; period + delta slots never rendered; scale ad hoc,Value zone + numeric hierarchy,screen composition,defer,Adopt slots behind Wave 2 tokens,Wave 2/3,Inconsistent emphasis,Slots rendered; scale tokenized,Revert
GAP-24,Period control,components/finance/FinancePeriodResultSection.tsx L62-87 (native type=month); pages/FinanceActivity.tsx L226-252; pages/Statement.tsx L276; period-chip grep = 0,Native month inputs + quick-range text buttons; period chip unimplemented,Period chip contract (36px/44px),covered by Standard,needs owner decision,"D-07: adopt chip vs keep month inputs (if kept, Standard gains an explicit variant note)",Wave 2,Time semantics are product-owned,Decision recorded; control anchored to its value,Revert
GAP-25,Third-party styling drift,components/ui/drawer.tsx L48-100; components/ui/tooltip.tsx L37-43,shadcn-default utilities outside the micro class system,One component grammar,shared UI primitive,fix now in planning,Absorb drawer styling into micro classes (with GAP-15); tooltip deleted via GAP-21,GAP-15/21,Two grammars coexist,Micro classes own all chrome,Revert
GAP-26,Storage type edges,17 files import @/storage/local/types (incl. pages/NewDraft.tsx L6; pages/OrderDetail.tsx L43; pages/Finance.tsx L31),UI imports storage record shapes (type-only),"UI binds to contracts, not storage",screen composition,fix now in planning,Move shared shapes to domain/application contracts,None,Contract-first violation,Zero storage imports in UI,Revert
GAP-27,localStorage leaks,application/drafts/legacyFormDraftMigration.ts L32; application/diagnostics/localDiagnosticsService.ts L174,2 persistence uses outside storage/ (both injectable),Persistence stays in storage layer,screen composition,fix now in planning,Relocate behind the storage interface,None,Boundary hygiene,Only storage/ touches persistence,Revert
GAP-28,Component-to-page edge,components/finance/FinancePeriodResultSection.tsx L12,Type-only import of FinanceState from pages/Finance,Layering forbids component->page,screen composition,fix now in planning,Move the type to application/model,None,Near-cycle,No component->page imports; guard test added,Revert
GAP-29,Inline business vocab,pages/FinancialEventEditor.tsx L152-157; page-local subsystems (pages/Schedule.tsx x7; pages/Finance.tsx x5),Domain vocabularies defined inside screens,Screens compose; meaning lives domain-side,screen composition,defer,Extract vocab in sequenced waves,Wave 4,Large; regression-prone,"Vocab imported, not inlined",Revert
GAP-30,FAB geometry,components/layout/BottomNav.tsx L29-32; index.css L828-852 vs Standard design-tokens.css L139-140 + gallery .fab,In-grid round (50%) text FAB on var(--primary) vs Standard 56px Clay r12 icon-only in own gutter 80px above nav,FAB contract (fully specified),AUX shell,needs owner decision,D-08: pick geometry (in-grid labeled FAB is a deliberate Micro pattern); then align tokens,Wave 2,Identity-level,FAB matches decision; covers no amount column,Revert
GAP-31,Navigation labels,app/navigation.ts L14-17 vs Standard micro-standard-v2/README.md L9,Micro: مشروعي الآن/العمل/مالي/أدواتي vs Standard: الرئيسية/المالية/الطلبات/الأدوات,Official navigation,AUX shell,needs owner decision,"D-09: ratify Micro labels (أدواتي already decreed in code); Standard text truthing, not code",Wave 5,Copy mismatch,Labels ratified on both sides,Doc revert
GAP-32,Unspecified AUX behaviors,"components/layout/MicroAppShell.tsx L26-33,L62-69,L90-119; index.css L300-305","Keyboard chrome-hide, context-label suppression, route-kind gating, scroll-border header, 260ms route transition - working but contract-less",Standard silent,AUX shell,preserve,Keep; document as AUX-shell addendum at next Standard revision (motion table gains a route row),Wave 5,None (works),Behaviors documented + guarded,N/A
GAP-33,Reader chrome depth,"app/routeClassifier.ts L52,L55",/assets/:id and /loans/:id = deep (nav hidden) while /orders/:id and /cash/wallet/:id = surface readers,Persistent nav on surfaces,AUX shell,needs owner decision,D-10: ratify per-family reader depth (contract-29 wording supports reader=surface),None,Inconsistent reader UX,Classifier matches decision; tests updated,Revert
GAP-34,Micro feature patterns,pages/Home.tsx L43-89 (fact triad); components/finance/EventsLayer.tsx L166-768 (correction grammar); components/presentation/DecisionPanel.tsx; knowledge states; decision-card grammar; inline feedback,Six runtime patterns richer than the Standard,Named as domain compositions only,Micro feature pattern,preserve,"Document as Micro-owned Feature Patterns; Standard may reference, never absorb",Wave 4,Flattening risk,Patterns documented with evidence,N/A
GAP-35,Knowledge states,pages/InventoryMaterials.tsx L354-379; components/finance/G5DecisionPanel.tsx L23-33,Unconfirmed quantity / unknown cost / needs-review lack canonical matrix rows,10-state matrix lacks a knowledge tier,product/owner decision,needs owner decision,D-11: approve a states-matrix amendment bound to existing approved values only,Wave 5,New state semantics,Matrix rows added; zero new hex,Standard revert
GAP-36,State-word orthography,مسودة x35; بانتظار قرار x7; ملغى x7; رُوجعت = 0 hits; متراجع موثقًا in activityLabels.ts,Word variants diverge from the Standard's example words,Matrix words are examples; binding is word+marker+color,product/owner decision,needs owner decision,D-12: ratify canonical Arabic words; update copy + matrix examples,Wave 2/5,Copy inconsistency,Canonical word list on both sides,Revert
GAP-37,Charts,grep <svg/<canvas/chart = 0 across src,Zero charts; Standard ships a question-led chart contract with floors,"Chart contract (one family, no library)",product/owner decision,defer,Keep deferred per owner stop rule; floors become acceptance criteria for the first chart,Owner decision,First chart must meet floors,Floors documented; first chart complies,N/A
GAP-38,Integrity-check pattern,pages/ToolsIntegrity.tsx L58-201; index.css L6557-6578,PASS/WARN/FAIL rows + drift line + offenders disclosure + version; no Standard contract,Standard silent (adjacent to deferred S-12),Micro feature pattern,preserve,Keep; optional one-line Standard pointer later,Wave 5,None,Pattern documented,N/A
GAP-39,Scheduling composition,"pages/Schedule.tsx L258-524 (capacity, recurrence, buckets, month-less lists); pages/ScheduleEditor.tsx L228-272",No calendar grid/picker beyond type=date; all product-local,Standard silent by design,not in Standard by design,preserve,Keep product-owned; document as feature pattern,Wave 4,None,Documented,N/A
GAP-40,Forms-protection stack,components/forms/UnsavedChangesGuard.tsx (26 pages) + useFormDraft + FormDraftRestoreBanner + app/resultFeedback.ts + review-lock note,"Shared contract-like stack, unspecified anywhere",Standard: input preserved (one line),Micro feature pattern,preserve,Document the pattern; Standard pointer at next revision,Wave 5,None,Documented + test-guarded (already),N/A
GAP-41,Filters / sort,pages/FinanceActivity.tsx L226-267; components/finance/CorrectionsLayer.tsx L238-252; sort grep = 0; one search field (pages/Parties.tsx L134),Ad-hoc aria-pressed text-button filters; no sort; Standard filter-surface staging unused,Filtering family (fully specified),screen composition,defer,Adopt filter surfaces when filters grow; per-surface decision,Wave 4,Unmanaged feature growth,Per-surface decision recorded,Revert
GAP-42,index.css organization,index.css 6962 lines; ~2/3 feature-scoped; 30 media queries; 35 !important,Accreted feature CSS,Feature-oriented split is the target state,screen composition,defer,"Split behind contracts - after dedup (GAP-43), never before",GAP-43,Fossilizes duplicates if early,Families per feature; no dup blocks,Revert per file
GAP-43,CSS duplication,"index.css .micro-financial-pulse L1822/2074/2599; .micro-home-heading L1760/1952/2204; 130-line unit, ~256 redundant lines",Triple block; copies 1&2 byte-identical; CSS tests read the first match,One truth per rule,screen composition,fix now in planning,Remove copies 2+3 behind a computed-style/screenshot check,None,Tests may read the wrong match,Single definition; visual snapshot equal,Revert
GAP-44,Guard suite scope,U09.css.test.ts (3 assertions) vs 165 test files,Only 3 CSS touch-target strings guarded; no token/hex/z/sheet guards,Contract-first must be enforceable,runtime token mapping,fix now in planning,"Extend guards: hex budget, --color-* namespace, z-ladder, sheet count, dup-block detector",GAP-06,Drift invisible today,Guards fail on each violation class,Revert
GAP-45,Token core health,631 --space-* uses vs 7 raw margins; 94 radius uses; 21 elevation uses; 105 logical properties; 0 rtl: hacks; TSX zero color literals,Discipline already token-driven,Strategy's token-driven layer exists,runtime token mapping,preserve,Formalize via the mapping layer (GAP-02); do not rebuild,Wave 2,None,Ratios maintained,N/A
GAP-46,Standard manifest count,documents/micro-standard-v2/MANIFEST.json,file_count: 29 vs 31 files on disk (self-documented 29 core + 2 metadata),Manifest accuracy,not in Standard by design,fix now in planning,Standard-side doc fix at next revision (make the 29+2 split explicit in the field),Wave 5,Cosmetic,Field states the split,Doc revert
GAP-47,Accounting-port pressure,Prior adversarial verdicts (historical context only; not a current-repo fact),Potential future pressure to port Accounting hexes/heroes/gold/steel-blue/fonts/5-tab nav,Contradicts Standard + standing owner bans,out of scope,out of scope,Keep banned; restate bans in every wave plan,-,Regression risk,Bans restated,-
