id,area,evidence_path,status,severity,owner,affected_layer,action,dependency,acceptance_criterion
A2-05,"Matrix accuracy — Schedule page labeled journey/dom but never rendered by any test (only ScheduleEditor is imported)","MIGRATION_MATRIX.csv row 43 vs grep: no test imports pages/Schedule.tsx",CLOSE_BEFORE_NEXT_PHASE,MEDIUM,MICRO_MAINTAINER,"planning matrix + client tests","Fix matrix cell to none-found (or add a Schedule dom test); re-audit the other journey/dom rows (39/40 render; only Schedule mismatches)",NONE,"Matrix test_coverage matches actual render coverage 52/52, verified by import grep"
A2-06,"None-found routes wording: 12 pages / 2,357 lines never rendered; only route-registry string tests touch them; covered by typecheck/lint overstates (those never execute page code)","FINAL_TEST_RESULTS.md:32; app/routeKnowledgeSync.test.ts (route strings only)",CLOSE_BEFORE_NEXT_PHASE,MEDIUM,NEXT_EXECUTION_AGENT,"client tests","Add render-smoke journeys for the financial-correction quintet (CashReversal, CashAdjustment, CashOpeningLater, InventoryReversal, G5Declaration) + AgreementEditor; reword the coverage claim",NONE,"Each of the 6 pages renders + saves through mocked/Memory services in a dom test; doc wording corrected"
A2-07,"Color contrast never computed anywhere; documented 7.4:1 has no computation artifact","SOURCE_OF_TRUTH_MATRIX.md:16; DARK_MODE_BOUNDARY.md:21 (defers floors)",OWNER_DECISION_REQUIRED,MEDIUM,OWNER,"design tokens / QA","Decide: enforce light-theme contrast floors now (computed-ratio guard over the token table) or defer to the dark-mode parity matrix",dark-mode gate U-03,"Either a contrast guard in pnpm check or a registered owner decision deferring it with a date/trigger"
A2-08,"Safe-area insets unguarded: 14 env(safe-area-inset-*) in index.css, 0 tests; W3 verified = CSS review","index.css (14 env() occurrences)",SAFE_TO_DEFER,LOW,NEXT_EXECUTION_AGENT,"client tests","Add a U09-style string guard asserting the shell/sheet insets survive refactors",NONE,"Guard test fails if safe-area insets are removed from shell/sheet rules"
A2-09,"StartupGate DOM behavior untested (loading→ready, first-run redirect, error+retry Button — the prior HIGH regression site); census guard covers class contract only","app/StartupGate.tsx:59,69-84 vs app/StartupGate.recovery.test.ts (copy only)",SAFE_TO_DEFER,LOW,NEXT_EXECUTION_AGENT,"client tests","Add a StartupGate dom test: loading → ready, first-run redirect to /setup, error surface renders retry Button",NONE,"Gate renders all three states in jsdom with mocked profiles.load()"
A2-10,"Vacuous test: local array toHaveLength(3) labeled as type-level contract","components/primitives/primitives.test.tsx:228-232",CLOSE_BEFORE_NEXT_PHASE,LOW,MICRO_MAINTAINER,"client tests","Delete or replace with a real type/export assertion (e.g. @ts-expect-error on an invalid stripeTone)",NONE,"No test in the suite asserts only locally-created data"
A2-11,"String-level CSS tests titled as behavior tests","components/primitives/primitives.test.tsx:320-357; U09.css.test.ts:16-35",SAFE_TO_DEFER,LOW,MICRO_MAINTAINER,"client tests","Retitle as guard or strengthen (regex anchored to the rule block) so a rule-body regression fails",NONE,"Test names no longer imply rendered behavior; assertions anchor to rule blocks"
A2-12,"Inventory claims verified exact: root 35 files/391 tests, client 170 files/1,233 tests (incl. it.each arithmetic: 1,206 + 27), test-focus 205, cycles scope 259, density pages 52, matrix 52 unique rows = 52 filesystem pages","TEST_AND_EVIDENCE_GAP_REVIEW.md §3 (static recount)",ALREADY_CLOSED_WITH_EVIDENCE,LOW,MICRO_MAINTAINER,NONE,none,"None — record as verified",NONE,n/a
A2-13,"Branch-tip pnpm check green is local-run only; CI triggers on main push + PR; no PR in evidence for the branch",".github/workflows/ci.yml (triggers)",SAFE_TO_DEFER,LOW,MICRO_MAINTAINER,CI,"Open a PR (or run the workflow once on the branch) to convert the local green into a CI artifact",NONE,"A CI run of pnpm check on ece7be3 (or successor) is green and linked"
A2-14,"aria audit absent: 739 aria-* attributes in source vs ~15 test assertions; no accessible-name audit, no axe","source/test grep comparison",SAFE_TO_DEFER,LOW,NEXT_EXECUTION_AGENT,"client tests","Add a name-audit test (every aria-hidden-icon button has an accessible name) per high-traffic surface",NONE,"Audit test passes on home/finance/orders/tools and fails when a label is removed"
A3-01,"Feedback classification: permanent doc contradicts code — SOURCE_OF_TRUTH.md:16 says primitives never classify, but FeedbackNote owns the classification regex; FeedbackNote absent from COMPONENT_CONTRACTS","docs/architecture/SOURCE_OF_TRUTH.md:16 vs client/src/components/primitives/Notice.tsx:77-97; run-folder SOURCE_OF_TRUTH_MATRIX.md:79 documents the opposite",CLOSE_BEFORE_NEXT_PHASE,MEDIUM,MICRO_MAINTAINER,"docs/architecture + primitives","Amend SOURCE_OF_TRUTH row to name FeedbackNote as the ratified centralized classifier; add the FeedbackNote contract section (word/advisory props, regex rule, 8 consumers) to COMPONENT_CONTRACTS",NONE,"A future agent reading only permanent docs reaches the correct FeedbackNote conclusion; no doc says primitives never classify"
A3-02,"Token single-source invariant only partially guarded: a new --vf-* defined in index.css :root and consumed from primitives.css/TSX passes every guard","scripts/design-token-guards.py:70-84 (any :root/.dark/@theme zone passes) + styles/vf-tokens.test.ts:140-146 (resolves refs from index.css only)",CLOSE_BEFORE_NEXT_PHASE,MEDIUM,MICRO_MAINTAINER,"token mapping (layer 2)","Add a guard test: zero --vf-* declarations outside vf-tokens.css (repo CSS scan)",NONE,"Test fails on any second --vf-* definition site"
A3-03,"Parallel surface-tone vocabulary unregistered (data-tone accent/warning/danger/update/offline set directly in pages) + local state→tone ternary outside the adapter","index.css:386-395,458-528,1746,1957-1963,2908-2987,3229-3242; Orders.tsx:152; Statement.tsx:501,561; DirectSaleEditor.tsx:599,608; Schedule.tsx:950; G5DecisionPanel.tsx:116-122; vs SOURCE_OF_TRUTH.md:14",OWNER_DECISION_REQUIRED,MEDIUM,OWNER,"state presentation + feature patterns","Owner registers the surface-tone grammar (or routes surface state through the adapter); document the vocabulary and its dark-layer selectors; scope SOURCE_OF_TRUTH line 14 to marker tones",A3-04,"Surface tones have one authoritative definition location; a new state→tone need has a documented path; no page-level tone assignment outside it"
A3-04,"Dark-boundary doc misstates primitive mode-resolution: claims alias-layer resolution exactly as before, but .dark never re-declares --vf-* and primitive surfaces are light-locked; dark user-reachable via system preference","planning/.../DARK_MODE_BOUNDARY.md:10 + SOURCE_OF_TRUTH_MATRIX.md:57 vs styles/primitives.css (--vf-surface/ground/ink bindings) + index.css:107-151 + contexts/ThemeContext.tsx:20-25,47-49",CLOSE_BEFORE_NEXT_PHASE,MEDIUM,MICRO_MAINTAINER,"dark boundary docs","Correct line 10 / divergence 3 to state that primitive surfaces are light-locked --vf-* and the semantic-roles wave must remap them; note .dark is user-reachable via system preference","NONE (doc edit; code change belongs to the owner-gated dark wave)","A dark-wave agent scoping from the boundary doc enumerates the ~30 light-locked primitive bindings as work items"
A3-05,"current-state.md / todo.md untouched by the branch; AGENTS.md §8 designates current-state the live reference — stale after merge","git diff origin/main..HEAD -- docs/operations/ todo.md (empty); docs/operations/current-state.md last updated 2026-09-13 (Group 11), zero mention of Standard integration",CLOSE_BEFORE_NEXT_PHASE,MEDIUM,NEXT_EXECUTION_AGENT,"docs/operations","Include the current-state + todo update in the merge/next-phase kickoff (per AGENTS.md §9), recording the integration branch, its guards, and the owner registers",merge decision (owner),"After merge, first-read of current-state.md describes the Standard integration and points to docs/architecture"
A3-06,"Primitives-are-leaves rule not mechanically enforced (no eslint rule; cycles guard passes a DAG edge primitives→application)","eslint.config.js (no rule for components/primitives); scripts/check-runtime-cycles.mjs (cycles only); planning/.../IMPORT_BOUNDARIES.md rule 2 + COMPONENT_CATALOG.md:3",CLOSE_BEFORE_NEXT_PHASE,MEDIUM,MICRO_MAINTAINER,"import boundaries","Add an eslint no-restricted-imports pattern for components/primitives/** (ban @/pages/*, @/app/*, @/application/*, @/storage/* value+type) mirroring the STR-005 rule",NONE,"A primitive importing application/pages fails lint"
A3-07,"Layer-5 directory enumeration omits components/forms/ and components/ui/","docs/architecture/UI_AUX_ARCHITECTURE.md:24 (9 families) vs live tree (11 component dirs)",CLOSE_BEFORE_NEXT_PHASE,LOW,MICRO_MAINTAINER,"architecture docs","Add both directories to the layer-5 list with one-line ownership (forms = cross-feature form infrastructure; ui = vendored radix bridge)",NONE,"The ladder accounts for every directory under components/"
A3-08,"Census wording inaccuracies: 9 choice toggles + ActualTimePanel vs actual 8 (ActualTimePanel uses plain Buttons); ADR-006 says 80 files vs actual 81","ADR-008:13 + MIGRATION_STATUS.md:8 vs components/presentation/ActualTimePanel.tsx (plain Buttons at 273/329/377; ChoiceButton count = 8); ADR-006:5",CLOSE_BEFORE_NEXT_PHASE,LOW,MICRO_MAINTAINER,"ADRs + MIGRATION_STATUS","Correct the ActualTimePanel parenthetical (describe as a Button weight split, not a ChoiceRow toggle) and the 80→81 file count",NONE,"All census sentences match grep-reproducible counts"
A3-09,"Guard scope gaps: index.html/vite.config hexes outside guard scope; 2 inline-style precedents unguarded","client/index.html:9-10 (#faf9f5/#1c1917); vite.config.ts:262-263 (#FAF9F5); inline styles at pages/DirectSaleEditor.tsx:631, components/forms/UnsavedChangesGuard.tsx:293",SAFE_TO_DEFER,LOW,MICRO_MAINTAINER,"guards","Extend guard scope to client/index.html + vite.config.ts hex allowlist; add an inline-style lint rule or document the structural-reset exception",NONE,"No raw color can enter the app shell files unnoticed; inline-style policy is stated"
A3-10,"Playbook points future agents at completed-run archival docs as living registries","docs/architecture/EXTENSION_PLAYBOOK.md B.6/E.3/F.4 → planning/micro-standard-ui-aux-integration-2026-09/ (run folder); COMPONENT_CONTRACTS.md:3 declares the catalog historical; components/primitives/index.ts:4 points to COMPONENT_CATALOG",CLOSE_BEFORE_NEXT_PHASE,LOW,MICRO_MAINTAINER,"extension playbook","Reword B.6/E.3/F.4 to name permanent homes (COMPONENT_CONTRACTS/SOURCE_OF_TRUTH/UI_AUX_ARCHITECTURE §6); mark run-folder docs read-only historical; fix the barrel comment pointer",A3-01,"Every record/document instruction names a living file that survives the run"
A3-11,"Route triple-registration (MicroRouter ↔ routeClassifier ↔ ROUTE_TEMPLATES) unguarded; SOURCE_OF_TRUTH.md:27 claims the sync","app/MicroRouter.tsx; app/routeClassifier.ts (regex list); application/diagnostics/routeTemplate.ts (58 templates)",SAFE_TO_DEFER,LOW,MICRO_MAINTAINER,"app/routing","Add a test asserting every router path has a classifier disposition and a ROUTE_TEMPLATES entry",NONE,"Adding a route without one of the three registrations fails a test"
A3-12,"Unregistered duplication: Settings verified-export download sequence duplicated verbatim","pages/Settings.tsx:271-296 vs 307-328 (Blob → objectURL → link.click → 30s revoke → markVerifiedExport, verbatim ×2); absent from MIGRATION_STATUS registers",SAFE_TO_DEFER,LOW,MICRO_MAINTAINER,"pages/Settings","Extract a shared downloadVerifiedExport() helper or register the duplication with a reason",NONE,"One implementation of the verified-export download path"
A3-13,"Stale permissive allowlist + misleading primitives.css header","styles/vf-tokens.test.ts:38-46 MICRO_KEPT retains 3 dead hexes (#3e5c76/#e8eef3, #b7b2a6); styles/primitives.css:2 header scopes file to components/primitives while containing MoneyWithUnit (components/presentation) styles at :472-484",SAFE_TO_DEFER,LOW,MICRO_MAINTAINER,"token tests + styles","Drop dead hexes from MICRO_KEPT (or assert their absence); widen the primitives.css header comment to name the presentation-layer exception",NONE,"Allowlist matches the live :root hex set; header names every component family it styles"
A4-01,"Dark-mode runtime reachability: theme is system-default + switchable with visible toggles — the broken v0 dark surface is user-reachable today; NOT activated is a ratification statement, not a runtime state","apps/prototype-web/client/src/App.tsx:13 + contexts/ThemeContext.tsx:20-23,47-59 + components/layout/AppHeader.tsx:48-56 + components/settings/SettingsAppearanceSection.tsx:34-36",OWNER_DECISION_REQUIRED,HIGH,OWNER,"App shell / contexts","Owner decides: pin light (defaultTheme=light / switchable=false) or formally accept the broken dark surface until the dark wave; record the decision in MIGRATION_STATUS.md U-03 register","NONE (decision only)","Decision recorded in MIGRATION_STATUS.md; if pinning: OS-dark first load renders light and the toggle is inert/hidden"
A4-02,"Primitive text roles bound to light-only --vf-* — all 8 button classes and Row/Field/EmptyState text stay light islands in dark (quiet text 1.05-1.18:1, commit boundary 1.18:1, titles 1.18:1); violates SOURCE_OF_TRUTH_MATRIX.md:57","apps/prototype-web/client/src/styles/primitives.css:19-41,164-167,171-178,275,344-353,376,450-459,480 vs planning/.../SOURCE_OF_TRUTH_MATRIX.md:57",CLOSE_BEFORE_NEXT_PHASE,HIGH,"MICRO_MAINTAINER (STANDARD_STEWARD for role names)","styles/primitives (layer 3)","Land styles/semantic-roles.css + retarget primitive text/mark/fill bindings to semantic roles/aliases (value-preserving in light) before the next journey phase","A4-07 (parallel, non-blocking); owner nod","No .micro-prim-* text/mark declaration binds --vf-ink*/--vf-error/--vf-success directly; light computed styles unchanged; guard test green"
A4-03,".dark unaudited and contradictory palette: 13 of 14 dark hexes belong to no registry; #cc785c is on the test suite's own RETIRED list; teal accents violate U-02; dual clay identity violates D-01","index.css:107-151 (+386-397,592-595); registries in styles/vf-tokens.test.ts:16-64",SAFE_TO_DEFER,MEDIUM,OWNER,"index.css token zone","Replace v0 values with the owner-approved dark set inside the future dark wave (register U-03); no reuse of retired values without ratification (boundary rule 1)","A4-02, U-03 gate","Every dark hex belongs to the approved dark set or a documented derivative; teal/#cc785c/dual-clay contradictions resolved"
A4-04,"Dark structural lines sub-floor: border 1.72:1 and divider 2.19:1 against dark surfaces (non-text floor 3:1)","index.css:114-115 (values) vs surfaces :112-113; consumers :205,845",SAFE_TO_DEFER,MEDIUM,NEXT_EXECUTION_AGENT,"index.css token zone","Re-derive border/divider dark values to ≥3:1 against dark surfaces during the dark wave",U-03 gate,"Computed non-text contrast ≥3:1 for separators on all dark surfaces"
A4-05,"PWA manifest dark twin unreachable by the ThemeContext rewrite path; boundary rule 5 overstates coverage","apps/prototype-web/vite.config.ts:262-263; contexts/ThemeContext.tsx:54-58; DARK_MODE_BOUNDARY.md:23 (rule 5)",SAFE_TO_DEFER,LOW,NEXT_EXECUTION_AGENT,"PWA config","Dark-wave item: decide manifest strategy (static light vs build-time dual manifest); amend boundary rule 5 wording",U-03 gate,"Manifest chrome matches the active theme or a documented single-chrome decision is recorded"
A4-06,"No color-scheme declaration: native widgets (selects, date pickers, scrollbars) render light in dark","grep color-scheme and prefers-color-scheme in client/src/**/*.css = 0 hits",SAFE_TO_DEFER,MEDIUM,NEXT_EXECUTION_AGENT,"base layer","Declare color-scheme: light dark appropriately with the dark wave",U-03 gate,"Native selects/date pickers/scrollbars match the active theme"
A4-07,"Standard has no dark/theme contract (deliberately silent per self-critique)","documents micro-standard-v2/self-critique.md:9,27; color-system.md; accessibility.md:23",OWNER_DECISION_REQUIRED,LOW,STANDARD_STEWARD,"Standard package (Documents repo)","Add the minimum mode-neutrality clarification at the next Standard revision — product-agnostic, no dark values, no Micro-specific content",Owner revision gate,"Standard states role names are theme-agnostic, contrast bindings are per-theme re-derivations, and non-light themes require color-scheme"
A4-08,"Dark-layer guard blind spots: .dark zone whitelisted in design-token-guards; vf-tokens.test asserts block existence (an Option-C removal cost); dead rules (.micro-truth-banner dark, --color-brand-pressed mirror)","scripts/design-token-guards.py:70-84; styles/vf-tokens.test.ts:188-195; index.css:392-394,66,120",SAFE_TO_DEFER,LOW,MICRO_MAINTAINER,"guards / index.css","When the dark wave (or an Option-C removal) touches .dark: add a dark-value registry check; remove the dead rules with 0-consumer proof",A4-03,"Guards validate dark hexes against the approved dark set; dead rules removed with 0-consumer proof"
A4-09,"Dark Mode boundary documentation (claim 13) verified end-to-end: ADR-007 + DARK_MODE_BOUNDARY.md + vf-tokens.css:16-17 + semantic-roles.css confirmed absent","docs/architecture/ADRs/ADR-007-dark-mode-boundary.md; planning/.../DARK_MODE_BOUNDARY.md",ALREADY_CLOSED_WITH_EVIDENCE,LOW,NONE,"docs / run folder","None (record verified); runtime caveat tracked as A4-01",NONE,"N/A — verified as claimed"
A4-10,"Charts/legends dark parity: zero live chart consumers in the product; U-16 floors already recorded as first-chart acceptance criteria","grep chart/Chart/series in client/src = 0; MIGRATION_STATUS.md:37 (item 5, U-16)",OUT_OF_SCOPE,LOW,NONE,N/A,"None — floors already recorded as first-chart acceptance criteria","First chart implementation","First chart ships with theme-aware series roles from the semantic layer"
A4-11,"FeedbackNote InlineError channel renders sub-floor in dark (2.59:1)","components/primitives/Notice.tsx:77-97 (classifier) + styles/primitives.css:273-282 (InlineError ink)",SAFE_TO_DEFER,MEDIUM,NEXT_EXECUTION_AGENT,"primitives","Resolved by A4-02's semantic retarget (error ink must resolve per-theme); classifier needs no change",A4-02,"InlineError text ≥4.5:1 on all surfaces in both themes"
A5-01,"Settings success feedback rendered as error: FeedbackNote success test /^تم[ت ]/ misses export success and diagnostic-copy success — renders error ink + alert glyph; regression introduced by db03aaf (QuietCompletion→FeedbackNote switch)","components/primitives/Notice.tsx:77-96; pages/Settings.tsx:293-295,136-138; components/settings/SettingsGuidedOpeningSection.tsx:245; components/settings/SettingsDataProtectionSection.tsx:125; git show db03aaf",CLOSE_BEFORE_NEXT_PHASE,HIGH,MICRO_MAINTAINER,"primitives → settings composition","Add an explicit success/advisory channel to FeedbackNote (words untouched); pin tests for both strings","owner informed word stays frozen (A5-10 related, not blocking)","Export success and diagnostic-copy success render a check/neutral marker, never error ink + alert glyph; contract test pins both strings"
A5-02,"Same-family misclassification on InventoryMaterials and DraftEditor: completions and advisories render as InlineError (no advisory pattern passed)","pages/InventoryMaterials.tsx:169,183,205 → :255; pages/DraftEditor.tsx:180,187 → :368",CLOSE_BEFORE_NEXT_PHASE,MEDIUM,MICRO_MAINTAINER,"screen composition","Same fix family as A5-01 or per-surface advisory patterns",A5-01,"Completions (أُوقفت/عادت/حُلّ) and advisories (لم نجد/بدأت) never render InlineError"
A5-03,"Dark mode user-reachable despite not-activated framing (duplicate of A4-01 from the journey perspective)","App.tsx:13 (defaultTheme=system switchable); contexts/ThemeContext.tsx:20-23,48; SettingsAppearanceSection.tsx:34-36; index.css:107 (.dark v0 palette)",OWNER_DECISION_REQUIRED,MEDIUM,OWNER,"AUX/token boundary","Owner gates reachability (default light / hide toggle) until the U-03 dark wave, or accepts legacy dark as a live tested surface","ADR-007 / DARK_MODE_BOUNDARY U-03","Decision recorded in MIGRATION_STATUS; if kept reachable, dark parity enters every journey test matrix"
A5-04,"Pressed toggles wearing link-ink have no selected visual state: 22 FinanceActivity filters, Finance view tabs, Statement ranges, LockSettings options, Corrections/Events toggles — only pressed rule in the tree is .micro-suggest-chip","pages/FinanceActivity.tsx:239-267; pages/Finance.tsx:294-313; pages/Statement.tsx:275; components/security/LockSettingsCard.tsx:130-139; components/finance/CorrectionsLayer.tsx:252; EventsLayer.tsx:843; index.css:5853",CLOSE_BEFORE_NEXT_PHASE,MEDIUM,"MICRO_MAINTAINER (+ owner ratifies link-ink scope)","primitives/CSS","Pressed styling for aria-pressed link-ink controls or chip migration; ratify link-ink (incl. warning/withdrawal ink)","link-ink ratification (register #6)","Current filter/range/tab/option visually distinct when pressed; aria semantics unchanged; ratification recorded"
A5-05,"OrderDetail conflates load-error with not-found: one screen, no retry — error ≠ not-recorded","pages/OrderDetail.tsx:191-193 (!ok || !stored → one screen), :272-284 (secondary back, no retry)",CLOSE_BEFORE_NEXT_PHASE,MEDIUM,MICRO_MAINTAINER,"screen composition","Split read-failure (role=alert + retry) from not-found (honest road back)",NONE,"Error path shows retry + alert and never claims the order missing; not-found copy distinct"
A5-06,"Asset disposal/write-off wear secondary despite terminal, reason-required semantics (compare: order cancellation = destructive, corrections = commit); OrderDetail register-as-debt also secondary","pages/AssetDetail.tsx:374-403 (تخلّص بمقابل، اشطب الأصل)",OWNER_DECISION_REQUIRED,MEDIUM,OWNER,"screen composition","Ratify action class within commit-class expansion (registered #7); explicitly cover this pair + OrderDetail تسجيله دينًا",register #7,"One ink per act documented in ADR-008 addendum; classes applied accordingly"
A5-07,"Error-recovery action inconsistent across surfaces (7 divergent variants)","pages/Home.tsx:167 (retry save-reload); pages/Loans.tsx:67 (retry save); pages/Finance.tsx:267 (nav home); pages/FinanceActivity.tsx:195 (back); pages/CashWallets.tsx:82; pages/Parties.tsx:83; pages/OrderDetail.tsx:276",SAFE_TO_DEFER,LOW,MICRO_MAINTAINER,"screen composition","Document one convention; align opportunistically",NONE,"Convention in architecture docs; new screens follow it; no seventh variant invented by journey phase"
A5-08,"Secondary reads degrade silently (absent ≠ unknown): Finance digests nulled on failure; QuickActionSheet wallet-options failure ignored → unallocated-only destination without notice","pages/Finance.tsx:228-231; components/layout/QuickActionSheet.tsx:102-110",SAFE_TO_DEFER,LOW,MICRO_MAINTAINER,"screen composition","Route failures to a message channel or honest unknown marker",NONE,"Read failures never render as absent/zero without notice"
A5-09,"FinanceActivity empty state lacks the no-data vs no-results chip split that Orders and Parties already implement","pages/FinanceActivity.tsx:270-275 (cf. pages/Orders.tsx:335, pages/Parties.tsx:138-147)",OWNER_DECISION_REQUIRED,LOW,OWNER,"screen composition","Registered (A4-L7): copy decision, then adopt the EmptyState state slot",NONE,"Void kinds distinguishable on screen; decision recorded"
A5-10,"✓ literal in success copy on three surfaces (one registered, two not)","pages/Settings.tsx:294 (registered); presentation/cashCountMessages.ts:19; pages/CashDistribution.tsx:129-130 (unregistered)",OWNER_DECISION_REQUIRED,LOW,OWNER,"copy","Widen the registered Settings ✓ decision to all three surfaces",A5-01 (sequence after classification fix),"Single marker per completion across all three surfaces"
A5-11,"Row/Field sequencing gate: primitives have zero production consumers while ≥10 bespoke row families and 430 micro-field uses carry the product","components/primitives/index.ts:20-21 (exports); Row/Field only in primitives.test.tsx; micro-field 430 uses/67 files; families: supplier-list articles, setting-row ×12, home-fact, today-item, loan/asset cards, owner-list-row, list-item, recurrence-card, event-row, micro-finance-event ×13",OWNER_DECISION_REQUIRED,MEDIUM,OWNER,"primitives / screen composition","Record convergence-wave vs journey-phase order BEFORE list/form-heavy journey work (registered waves #2/#3)",registers #2/#3,"Sequencing decision recorded in MIGRATION_STATUS; waves scheduled or consciously deferred with reasons"
A5-12,".micro-field-error dual definition (partial-overlap family) merged only by cascade today","index.css:1079-1083 (bare text) + index.css:3991-3997 (card geometry)",SAFE_TO_DEFER,LOW,MICRO_MAINTAINER,CSS,"Merge within the registered partial-overlap wave (computed-style equality + visual review)",register #8,"Single definition; computed-style equality proven; no visual change"
A5-13,"Hand-built query strings drift from navigation contract utilities","pages/FinanceActivity.tsx:205-209 (manual from forwarding); pages/OrderDetail.tsx:1403 (manual ?order=&from=); pages/Settings.tsx:519 (hand-encoded %2Fsettings)",SAFE_TO_DEFER,LOW,MICRO_MAINTAINER,"screen composition","Use withFrom/appendQueryParams opportunistically",NONE,"No hand-built ?from outside navigationContract; behavior unchanged"
