id,token_or_component,layer,light_evidence,dark_counterpart_status,dark_evidence,consumers_count,gap,severity,classification,notes
A4-R23,disabled state,Base layer + primitives,index.css:483-491 opacity 0.5 + primitives.css:114-117/238-241,NOT-APPLICABLE,Mode-independent (opacity),global,Mechanism is color-independent; passes in both themes,LOW,SAFE_TO_DEFER,""
A4-R24,selected state (ChoiceRow/ChoiceButton 2px edge + dot + weight),Primitives (W2),primitives.css:242-253 inset 2px var(--vf-clay-interactive) + ::before dot,PARTIAL,No dark counterpart; edge #c96442 renders on the LIGHT tint island (--vf-btn-secondary-bg #e8e6dc) = 3.12:1 pass,8 ChoiceButton/ChoiceRow usages (claim 2; matrix MIGRATION_STATUS.md:8),The control itself stays a light island in dark (missing counterpart); internal contrast holds; weight + dot non-color cues survive,HIGH,SAFE_TO_DEFER,"Selection contract intact semantically; surface parity missing"
A4-R25,pressed/active states,Primitives + shell,primitives.css:111-113/127-129/137-140/146-148/154-156/185-187 (scale + inset edges),PARTIAL,Transforms are mode-independent; color presses use --vf-* (stay light) on light islands,all 299 Button usages,Save pressed 2px edge #c96442 visible on light island; commit pressed #3d3d3a invisible boundary on dark (1.18:1),MEDIUM,SAFE_TO_DEFER,""
A4-R26,Button — create (Clay fill + dark ink),Primitives (W2),primitives.css:123-129 (--vf-btn-create-bg #d97757 / --vf-btn-create-ink #141413 / pressed #c96442),MISSING,No dark binding; stays light Clay with dark ink,17 usages (claim 2),Light island: internally 5.90:1 pass; boundary vs dark canvas 6.76:1 pass; identity divergence (light uses ratified #d97757; dark alias --color-brand-primary is v0 #d59172 for FAB) — two different clays across themes,MEDIUM,SAFE_TO_DEFER,""
A4-R27,Button — save (warm base + 2px clay-interactive edge),Primitives (W2),primitives.css:132-140 (--vf-btn-save-bg #f5f4ed / ink #141413 / inset edge),MISSING,No dark binding; stays warm-light island,73 usages incl. StartupGate retry (StartupGate.tsx:84),Island boundary 14.14:1 vs dark card — readable but jarring; edge passes on island,MEDIUM,SAFE_TO_DEFER,""
A4-R28,Button — commit (warm-ink fill + white text),Primitives (W2),primitives.css:142-148 (--vf-btn-primary-bg #141413 / ink white / pressed #3d3d3a),MISSING (BROKEN),No dark binding; fill #141413 on dark surface #27231f = 1.18:1,8 + 1 conditional usages (claim 2),High-consequence action button becomes effectively invisible (non-text boundary floor 3:1 failed by 60%),HIGH,SAFE_TO_DEFER,"Worst activation break: the most consequential control disappears"
A4-R29,Button — secondary (neutral tint + ink),Primitives (W2),primitives.css:150-156 (#e8e6dc / #141413 / pressed #d1cfc5),MISSING,No dark binding; light tint island,158 usages (45 nav + 113 neutral; claim 2),Internally 14.73:1; island vs dark card 13+:1 — readable light island,MEDIUM,SAFE_TO_DEFER,""
A4-R30,Button — outline (white surface + interactive boundary),Primitives (W2),primitives.css:158-162 (#ffffff / #87867f border / #141413),MISSING,No dark binding; white island,0 TSX consumers today (class defined; outline actions classified as secondary per claim 2),Readable white island; border #87867f on white 3.0+:1 pass,LOW,SAFE_TO_DEFER,"Defined-but-unused action class; parity debt only if adopted"
A4-R31,Button — ghost (tertiary ink transparent),Primitives (W2),primitives.css:164-167 (--vf-btn-ghost-ink = --vf-ink-tertiary #6b6962),MISSING (BROKEN),No dark binding; transparent bg,0 TSX consumers today (class defined; verified action="ghost" = 0),3.18:1 on dark canvas — below 4.5:1 text floor; would FAIL if adopted,HIGH,SAFE_TO_DEFER,"Latent: no live consumer yet — fix before any ghost adoption"
A4-R32,Button — quiet (correction/reversal entries),Primitives (W2),primitives.css:171-178 (--vf-ink text / --color-border hairline / transparent),MISSING (BROKEN),No dark binding,36 usages (claim 2),Text #141413 on dark = 1.05–1.18:1 INVISIBLE; hairline border 1.72:1 — the documented financial correction/reversal entries become unusable,HIGH,SAFE_TO_DEFER,"Critical financial touchpoints (MR-03) fail first"
A4-R33,Button — destructive (error ink + outline),Primitives (W2),primitives.css:180-187 (--vf-btn-destructive-ink #b53333 / border / white bg),MISSING,No dark binding; white island,internal; 1 destructive + 8 danger→destructive (claim 2),Internally 6.02:1 pass on white island; error ink on dark surfaces elsewhere (InlineError) fails 2.59:1,MEDIUM,SAFE_TO_DEFER,""
A4-R34,StatusChip (pending/unknown/success/failure),Primitives (W2),primitives.css:46-77 white surface + ink word + data-tone markers (--vf-success 3.27 / status 3.25 / info 3.87 / error 6.02 on white),PARTIAL,No dark counterpart; chip remains white island preserving the 3:1 marker grammar,4 StatusChip usages + tone bindings (stateAdapter.ts:35),Island keeps marker contrast floors intact (by design — marks bound to white Surface); visually loud against dark canvas; word ink #141413 on white passes,MEDIUM,SAFE_TO_DEFER,"Semantic grammar survives; surface parity missing"
A4-R35,EmptyState (incl. honest-state slot),Primitives (W2),primitives.css:424-459 (symbol --vf-tint bg + --vf-ink-secondary; title --vf-ink; description --vf-ink-secondary),MISSING (BROKEN),No dark counterpart,8 EmptyState usages + 6 micro-prim-empty class refs,Title #141413 on dark canvas/card 1.05–1.18:1 INVISIBLE; description 1.81:1 fail; symbol is a light tint island,HIGH,SAFE_TO_DEFER,"Honest-void contract (word+marker) survives but is unreadable"
A4-R36,Notice / InlineError,Primitives (W2),primitives.css:259-282 (--vf-recessed bg + --vf-ink; error variant --vf-error ink; error-inline transparent + 3px --vf-error edge),PARTIAL,No dark counterpart,3 Notice + 1 InlineError + FeedbackNote routing,Notice = light island (internally fine); InlineError text #b53333 on dark card 2.59:1 FAIL — in-form error recovery unreadable,HIGH,SAFE_TO_DEFER,""
A4-R37,FeedbackNote (mixed-channel classifier; failure-text-as-success fix W7),Primitives (W2),Notice.tsx:77-97 (routes تم→QuietCompletion; advisory→Notice; else InlineError),PARTIAL,Inherits Notice/InlineError dark state,8 usages (CostEditor/Catalog/DirectSaleEditor/DraftEditor/InventoryMaterials/Settings×3),Classifier logic is theme-independent (correct); presentation inherits the PARTIAL/BROKEN notice states,MEDIUM,SAFE_TO_DEFER,"W7 HIGH-1 fix holds semantically in dark; rendering breaks for the error channel"
A4-R38,QuietCompletion (ink check on warm surface),Primitives (W2),primitives.css:259-269 + Notice.tsx:39-50 (check marker in --vf-ink on --vf-recessed),PARTIAL,No dark counterpart; light island,2 direct + FeedbackNote routing,Word+shape meaning survives; island readable internally,MEDIUM,SAFE_TO_DEFER,""
A4-R39,Row primitive (titles/captions/lead/state/trailing),Primitives (W2),primitives.css:294-365 (title --vf-ink; caption --vf-ink-secondary; lead --vf-recessed bg + --vf-ink-secondary; stripes --vf-success/error/info),MISSING (BROKEN),No dark counterpart,9 micro-prim-row class refs + Row.tsx,Title 1.18:1 INVISIBLE on dark cards; caption 1.81:1 fail; lead = light island; stripe hues #629987/#2c84db on dark 2.3-2.9:1 below 3:1 non-text floor,HIGH,SAFE_TO_DEFER,"Core data-row reading surface fails"
A4-R40,Field primitive (label/input/hint/error),Primitives (W2),primitives.css:370-421 (label --vf-ink; input --vf-surface white + --vf-ink; focus --vf-focus #141413; error --vf-error),PARTIAL,No dark counterpart (0 <Field> adopters today — MIGRATION_STATUS.md:20),0 component usages; 5 micro-prim-field class refs in tests/css only,Label would be INVISIBLE (1.18:1) on dark cards; input = white island; not yet adopted by forms so blast radius currently zero,MEDIUM,SAFE_TO_DEFER,"Must be fixed before Field-convergence wave (owner decision #3)"
A4-R41,markers (dot/partial/tilde non-color signals),Primitives (W2),primitives.css:19-41 (--vf-ink-secondary #4d4c48),MISSING (BROKEN),No dark counterpart,8 micro-prim-marker refs + StateMarker,1.81:1 on dark — below 3:1 non-text floor; knowledge-state dots become near-invisible,MEDIUM,SAFE_TO_DEFER,"Non-color semantics survive (shape) but the mark itself fades"
A4-R42,MoneyWithUnit (unit ink),Primitives (W2),primitives.css:479-484 (--vf-ink-secondary),MISSING (BROKEN),No dark counterpart,1 component + class refs,Unit suffix 1.81:1 on dark — fail,LOW,SAFE_TO_DEFER,""
A4-R43,legacy .micro-field family (forms),Feature CSS (index.css),index.css:1018-1082 (--color-* aliases; focus --color-accent-primary + 18% mix; error --color-danger-text),PRESENT,Aliases re-declared under .dark (teal focus; #e47975 error on #332d27 = 4.72:1 pass),411 class refs (dominant form family),Adapts to dark; focus ring teal contradicts U-02; error text passes,LOW,SAFE_TO_DEFER,""
A4-R44,table rows zebra/hover (financial pulse / period result / position cards),Feature CSS (index.css),index.css:1834-1839/2151-2154/2310-2318 (--color-border separators; hover --color-bg-well at 4767 etc.),PRESENT,Aliases re-declared under .dark,3+4+3 class refs,Separators 1.72:1 sub-floor in dark (structure readable via layout); text aliases pass,MEDIUM,SAFE_TO_DEFER,""
A4-R45,event rows (micro-event-row reversed states),Feature CSS (index.css),index.css:6172-6187 (--color-* aliases),PRESENT,Aliases adapt,3 class refs,Resolves; reversed emphasis carries via weight not color,LOW,SAFE_TO_DEFER,""
A4-R46,sheets/dialogs (bottom sheet / dialog / scrim / elevation),Feature CSS (index.css),index.css:669-708 + 832-849 (--color-surface fill; --vf-scrim; --elevation-3),PARTIAL,Surface/elevation adapt under .dark; --vf-scrim static,3 dialog + 2 bottom-sheet refs (+QuickActionSheet via Drawer),Dark sheet surfaces fine; scrim is an untested static derivative; sheet action rows (index.css:940-978) adapt,MEDIUM,SAFE_TO_DEFER,""
A4-R47,charts (series colors / loading / nodata / zero),Primitives + Standard,NO live consumers — zero chart matches in client/src (grep chart|Chart|series = 0); floors recorded for first chart (MIGRATION_STATUS.md item 5; U-16),NOT-APPLICABLE,N/A — semantic-roles proposal reserves chart-1..n roles,0,N/A — Standard restraint rule (color-system.md:45) governs; honest-zero handling exists in stateAdapter (measured-zero),LOW,OUT_OF_SCOPE,"Recorded acceptance criteria exist; no dark work possible yet"
A4-R48,legends,Data display,Same as charts — no live consumers,NOT-APPLICABLE,N/A,0,N/A,LOW,OUT_OF_SCOPE,""
A4-R49,calendar/schedule (month grid/cells/selected/hover),Feature CSS (index.css),index.css:3326-3485+ (--color-* aliases; selected 2px --color-accent-primary; hover --color-accent-soft),PRESENT,Aliases adapt (selected edge becomes teal #5ec0c1 in dark),6 micro-month-cell refs + panel classes,Resolves; selected/hover teal contradicts U-02 selection-ink decision; contrast passes (8.15:1),MEDIUM,SAFE_TO_DEFER,""
A4-R50,filters (period range / suggest chips),Feature CSS (index.css),index.css:5401-5403 (.micro-chip button:hover --color-bg-well); 5847-5849 (suggest chips) — alias-based,PRESENT,Aliases adapt,chip class refs,Resolves,LOW,SAFE_TO_DEFER,""
A4-R51,bottom navigation,AUX shell (index.css),index.css:737-792 (--color-surface 94% translucent + blur; active --color-accent-text + --color-accent-soft),PRESENT,Adapts (active = teal on #332d27 8.19:1),2 refs (BottomNav.tsx),Teal active state contradicts U-02; translucency derives from dark surface — works,LOW,SAFE_TO_DEFER,""
A4-R52,FAB (create class),AUX shell (index.css),index.css:793-831 (--primary → --vf-action-create; --primary-foreground; hover --vf-clay-interactive direct),PRESENT,.dark: --primary → v0 clay #d59172; --primary-foreground → --color-ink-on-color = #141413,1 ref (MicroAppShell),Contrast holds (7.13:1); identity contradiction — FAB clay differs between themes (v0 #d59172 vs ratified #d97757); hover binds --vf-* directly (light value #c96442 — acceptable visually),MEDIUM,SAFE_TO_DEFER,"Only create-path control that actually re-themes"
A4-R53,AppHeader (sticky + translucent scrolled state),AUX shell (index.css),index.css:195-286 (border --color-border; scrolled: --color-divider + color-mix canvas 92%),PRESENT,Adapts; wordmark/brand-text teal in dark (index.css:121),1 ref (AppHeader.tsx),Resolves; identity ink contradiction; hairline 1.72-2.19:1 sub-floor,LOW,SAFE_TO_DEFER,""
A4-R54,theme toggle affordances,App code,AppHeader.tsx:48-56 (moon/sun icon button) + SettingsAppearanceSection.tsx:34-36 (secondary Button) + App.tsx:13 (ThemeProvider defaultTheme=system switchable),PRESENT (live),Toggle applies .dark class + data-theme + meta rewrite (ThemeContext.tsx:47-59),3 entry points,Toggle is REACHABLE today; OS-dark users get .dark automatically at first load (resolveTheme ThemeContext.tsx:20-23) — the 'not activated' boundary is not runtime-enforced,HIGH,OWNER_DECISION_REQUIRED,"A4-F01: pin light vs accept broken dark is an owner call"
A4-R55,safe areas (env insets),AUX shell,index.css:217/288-298/743 etc. env(safe-area-inset-*),NOT-APPLICABLE,Mode-independent geometry,all shell chrome,No color coupling,LOW,SAFE_TO_DEFER,""
A4-R56,keyboard states (data-keyboard-open),AUX shell,index.css:732-736 hides header/nav,NOT-APPLICABLE,Mode-independent,shell,No color coupling,LOW,SAFE_TO_DEFER,""
A4-R57,reduced motion,Primitives + features,primitives.css:462-470 + index.css:726/2794/3673/5506,NOT-APPLICABLE,Mode-independent,all animated elements,No color coupling; motion floors survive themes,LOW,SAFE_TO_DEFER,""
A4-R58,manifest theme_color / background_color (PWA twin),PWA (vite.config.ts),vite.config.ts:262-263 both #FAF9F5 (light),MISSING,Static manifest — ThemeContext runtime rewrite cannot touch it (rewrites meta tags only; ThemeContext.tsx:54-58),manifest consumers (install splash),Dark install splash stays light; DARK_MODE_BOUNDARY.md rule 5 assumes the rewrite path covers twins — it does not cover the manifest,MEDIUM,SAFE_TO_DEFER,"Plan gap in the boundary doc"
A4-R59,meta theme-color (PWA twin),PWA (index.html + ThemeContext),index.html:9-10 dual media tags (light #faf9f5 / dark #1c1917) + runtime rewrite,PRESENT,Rewrite works mechanically (reads computed --color-bg-canvas → #1c1917 in dark),both meta tags,Dark meta value is the v0 canvas hex pre-baked in HTML; consistent with the .dark block but unaudited,LOW,SAFE_TO_DEFER,""
A4-R60,color-scheme property / native UA widgets,Base layer,ABSENT — no color-scheme or prefers-color-scheme media query in any CSS (grep = 0 hits),MISSING,Nothing declared,all native select/date/scrollbar widgets,Native controls (select dropdowns date pickers scrollbars autofill) render LIGHT inside a dark page even where .micro-field inputs adapt,LOW,SAFE_TO_DEFER,"Dark-wave checklist item"
A4-R61,semantic-roles layer (styles/semantic-roles.css),Proposed layer 2.5,DARK_MODE_BOUNDARY.md:12-24 proposal (surface/surface-raised/text/…/chart-1..n),MISSING,File does not exist (verified: no semantic-roles match anywhere),0 today; would intermediate all .dark bindings,The sanctioned mechanism for a dark wave is unimplemented — as registered (U-03),HIGH,SAFE_TO_DEFER,"Option B work item"
A4-R62,Tailwind dark: variant,Tooling,index.css:10 @custom-variant dark registered,NOT-APPLICABLE,0 usages in TSX (grep dark: = 0),0,Registered but unused; the alias layer is the only active mechanism,LOW,SAFE_TO_DEFER,""
A4-R63,.dark structural tone rules ([data-tone] borders / textures),Dark-only feature CSS,index.css:384-397 + 592-595 (soft-color collapse compensation),PRESENT,index.css:386-394 (tone borders via color-mix of state text); 395-397 texture opacity; 592-595 review pattern screen blend,4 data-tone consumers + textures,Deliberate dark-only structural separation exists — evidence the block was a real theme not a stub; .micro-truth-banner target has 0 TSX consumers (dead rule),LOW,SAFE_TO_DEFER,""
